code,description
T50915,Adverse effect of multiple unspecified drug/meds/biol subst
T50916,Underdosing of multiple unspecified drug/meds/biol subst
T5099,"Drugs, medicaments and biological substances"
T50991,"Poisoning by oth drug/meds/biol subst, accidental"
T50992,"Poisoning by oth drug/meds/biol subst, intentional self-harm"
T50993,"Poisoning by oth drug/meds/biol subst, assault"
T50994,"Poisoning by oth drug/meds/biol subst, undetermined"
T50995,Adverse effect of drug/meds/biol subst
T50996,"Underdosing of drugs, medicaments and biological substances"
T51,Toxic effect of alcohol
T510,Toxic effect of ethanol
T510X,Toxic effect of ethanol
T510X1,"Toxic effect of ethanol, accidental (unintentional)"
T510X2,"Toxic effect of ethanol, intentional self-harm"
T510X3,"Toxic effect of ethanol, assault"
T510X4,"Toxic effect of ethanol, undetermined"
T511,Toxic effect of methanol
T511X,Toxic effect of methanol
T511X1,"Toxic effect of methanol, accidental (unintentional)"
T511X2,"Toxic effect of methanol, intentional self-harm"
T511X3,"Toxic effect of methanol, assault"
T511X4,"Toxic effect of methanol, undetermined"
T512,Toxic effect of 2-Propanol
T512X,Toxic effect of 2-Propanol
T512X1,"Toxic effect of 2-Propanol, accidental (unintentional)"
T512X2,"Toxic effect of 2-Propanol, intentional self-harm"
T512X3,"Toxic effect of 2-Propanol, assault"
T512X4,"Toxic effect of 2-Propanol, undetermined"
T513,Toxic effect of fusel oil
T513X,Toxic effect of fusel oil
T513X1,"Toxic effect of fusel oil, accidental (unintentional)"
T513X2,"Toxic effect of fusel oil, intentional self-harm"
T513X3,"Toxic effect of fusel oil, assault"
T513X4,"Toxic effect of fusel oil, undetermined"
T518,Toxic effect of other alcohols
T518X,Toxic effect of other alcohols
T518X1,"Toxic effect of other alcohols, accidental (unintentional)"
T518X2,"Toxic effect of other alcohols, intentional self-harm"
T518X3,"Toxic effect of other alcohols, assault"
T518X4,"Toxic effect of other alcohols, undetermined"
T519,Toxic effect of unspecified alcohol
T5191,"Toxic effect of unsp alcohol, accidental (unintentional)"
T5192,"Toxic effect of unspecified alcohol, intentional self-harm"
T5193,"Toxic effect of unspecified alcohol, assault"
T5194,"Toxic effect of unspecified alcohol, undetermined"
T52,Toxic effect of organic solvents
T520,Toxic effects of petroleum products
T520X,Toxic effects of petroleum products
T520X1,"Toxic effect of petroleum products, accidental"
T520X2,"Toxic effect of petroleum products, intentional self-harm"
T520X3,"Toxic effect of petroleum products, assault"
T520X4,"Toxic effect of petroleum products, undetermined"
T521,Toxic effects of benzene
T521X,Toxic effects of benzene
T521X1,"Toxic effect of benzene, accidental (unintentional)"
T521X2,"Toxic effect of benzene, intentional self-harm"
T521X3,"Toxic effect of benzene, assault"
T521X4,"Toxic effect of benzene, undetermined"
T522,Toxic effects of homologues of benzene
T522X,Toxic effects of homologues of benzene
T522X1,"Toxic effect of homologues of benzene, accidental"
T522X2,"Toxic effect of homologues of benzene, intentional self-harm"
T522X3,"Toxic effect of homologues of benzene, assault"
T522X4,"Toxic effect of homologues of benzene, undetermined"
T523,Toxic effects of glycols
T523X,Toxic effects of glycols
T523X1,"Toxic effect of glycols, accidental (unintentional)"
T523X2,"Toxic effect of glycols, intentional self-harm"
T523X3,"Toxic effect of glycols, assault"
T523X4,"Toxic effect of glycols, undetermined"
T524,Toxic effects of ketones
T524X,Toxic effects of ketones
T524X1,"Toxic effect of ketones, accidental (unintentional)"
T524X2,"Toxic effect of ketones, intentional self-harm"
T524X3,"Toxic effect of ketones, assault"
T524X4,"Toxic effect of ketones, undetermined"
T528,Toxic effects of other organic solvents
T528X,Toxic effects of other organic solvents
T528X1,"Toxic effect of organic solvents, accidental (unintentional)"
T528X2,"Toxic effect of oth organic solvents, intentional self-harm"
T528X3,"Toxic effect of other organic solvents, assault"
T528X4,"Toxic effect of other organic solvents, undetermined"
T529,Toxic effects of unspecified organic solvent
T5291,"Toxic effect of unsp organic solvent, accidental"
T5292,"Toxic effect of unsp organic solvent, intentional self-harm"
T5293,"Toxic effect of unspecified organic solvent, assault"
T5294,"Toxic effect of unspecified organic solvent, undetermined"
T53,Toxic effect of halogen derivatives of aromat hydrocrb
T530,Toxic effects of carbon tetrachloride
T530X,Toxic effects of carbon tetrachloride
T530X1,"Toxic effect of carbon tetrachloride, accidental"
T530X2,"Toxic effect of carbon tetrachloride, intentional self-harm"
T530X3,"Toxic effect of carbon tetrachloride, assault"
T530X4,"Toxic effect of carbon tetrachloride, undetermined"
T531,Toxic effects of chloroform
T531X,Toxic effects of chloroform
T531X1,"Toxic effect of chloroform, accidental (unintentional)"
T531X2,"Toxic effect of chloroform, intentional self-harm"
T531X3,"Toxic effect of chloroform, assault"
T531X4,"Toxic effect of chloroform, undetermined"
T532,Toxic effects of trichloroethylene
T532X,Toxic effects of trichloroethylene
T532X1,"Toxic effect of trichloroethylene, accidental"
T532X2,"Toxic effect of trichloroethylene, intentional self-harm"
T532X3,"Toxic effect of trichloroethylene, assault"
T532X4,"Toxic effect of trichloroethylene, undetermined"
T533,Toxic effects of tetrachloroethylene
T533X,Toxic effects of tetrachloroethylene
T533X1,"Toxic effect of tetrachloroethylene, accidental"
T533X2,"Toxic effect of tetrachloroethylene, intentional self-harm"
T533X3,"Toxic effect of tetrachloroethylene, assault"
T533X4,"Toxic effect of tetrachloroethylene, undetermined"
T534,Toxic effects of dichloromethane
T534X,Toxic effects of dichloromethane
T534X1,"Toxic effect of dichloromethane, accidental (unintentional)"
T534X2,"Toxic effect of dichloromethane, intentional self-harm"
T534X3,"Toxic effect of dichloromethane, assault"
T534X4,"Toxic effect of dichloromethane, undetermined"
T535,Toxic effects of chlorofluorocarbons
T535X,Toxic effects of chlorofluorocarbons
T535X1,"Toxic effect of chlorofluorocarbons, accidental"
T535X2,"Toxic effect of chlorofluorocarbons, intentional self-harm"
T535X3,"Toxic effect of chlorofluorocarbons, assault"
T535X4,"Toxic effect of chlorofluorocarbons, undetermined"
T536,Toxic effects of halogen derivatives of aliphatic hydrocrb
T536X,Toxic effects of halogen derivatives of aliphatic hydrocrb
T536X1,"Toxic effect of halogen deriv of aliphatic hydrocrb, acc"
T536X2,"Toxic effect of halogen deriv of aliphatic hydrocrb, slf-hrm"
T536X3,"Toxic effect of halogen deriv of aliphatic hydrocrb, assault"
T536X4,"Toxic effect of halogen deriv of aliphatic hydrocrb, undet"
T537,Toxic effects of halogen derivatives of aromatic hydrocrb
T537X,Toxic effects of halogen derivatives of aromatic hydrocrb
T537X1,"Toxic effect of halogen deriv of aromatic hydrocrb, acc"
T537X2,"Toxic effect of halogen deriv of aromatic hydrocrb, slf-hrm"
T537X3,"Toxic effect of halogen deriv of aromatic hydrocrb, assault"
T537X4,"Toxic effect of halogen deriv of aromatic hydrocrb, undet"
T539,Toxic effects of unsp halogen derivatives of aromat hydrocrb
T5391,"Toxic effect of unsp halogen deriv of aromat hydrocrb, acc"
T5392,"Toxic effect of unsp halgn deriv of aromat hydrocrb, slf-hrm"
T5393,"Toxic effect of unsp halogen deriv of aromat hydrocrb, asslt"
T5394,"Toxic effect of unsp halogen deriv of aromat hydrocrb, undet"
T54,Toxic effect of corrosive substances
T540,Toxic effects of phenol and phenol homologues
T540X,Toxic effects of phenol and phenol homologues
T540X1,"Toxic effect of phenol and phenol homologues, accidental"
T540X2,"Toxic effect of phenol and phenol homologues, self-harm"
T540X3,"Toxic effect of phenol and phenol homologues, assault"
T540X4,"Toxic effect of phenol and phenol homologues, undetermined"
T541,Toxic effects of other corrosive organic compounds
T541X,Toxic effects of other corrosive organic compounds
T541X1,"Toxic effect of corrosive organic compounds, accidental"
T541X2,"Toxic effect of corrosive organic compounds, self-harm"
T541X3,"Toxic effect of other corrosive organic compounds, assault"
T541X4,"Toxic effect of corrosive organic compounds, undetermined"
T542,Toxic effects of corrosive acids and acid-like substances
T542X,Toxic effects of corrosive acids and acid-like substances
T542X1,"Toxic effect of corrosive acids and acid-like substnc, acc"
T542X2,"Toxic effect of corrosv acids and acid-like substnc, slf-hrm"
T542X3,"Toxic effect of corrosv acids and acid-like substnc, assault"
T542X4,"Toxic effect of corrosive acids and acid-like substnc, undet"
T543,Toxic effects of corrosive alkalis and alk-like substances
T543X,Toxic effects of corrosive alkalis and alk-like substances
T543X1,"Toxic effect of corrosive alkalis and alk-like substnc, acc"
T543X2,"Toxic eff of corrosv alkalis and alk-like substnc, slf-hrm"
T543X3,"Toxic effect of corrosv alkalis and alk-like substnc, asslt"
T543X4,"Toxic effect of corrosv alkalis and alk-like substnc, undet"
T549,Toxic effects of unspecified corrosive substance
T5491,"Toxic effect of unsp corrosive substance, accidental"
T5492,"Toxic effect of unsp corrosive substance, self-harm"
T5493,"Toxic effect of unspecified corrosive substance, assault"
T5494,"Toxic effect of unsp corrosive substance, undetermined"
T55,Toxic effect of soaps and detergents
T550,Toxic effect of soaps
T550X,Toxic effect of soaps
T550X1,"Toxic effect of soaps, accidental (unintentional)"
T550X2,"Toxic effect of soaps, intentional self-harm"
T550X3,"Toxic effect of soaps, assault"
T550X4,"Toxic effect of soaps, undetermined"
T551,Toxic effect of detergents
T551X,Toxic effect of detergents
T551X1,"Toxic effect of detergents, accidental (unintentional)"
T551X2,"Toxic effect of detergents, intentional self-harm"
T551X3,"Toxic effect of detergents, assault"
T551X4,"Toxic effect of detergents, undetermined"
T56,Toxic effect of metals
T560,Toxic effects of lead and its compounds
T560X,Toxic effects of lead and its compounds
T560X1,"Toxic effect of lead and its compounds, accidental"
T560X2,"Toxic effect of lead and its compounds, self-harm"
T560X3,"Toxic effect of lead and its compounds, assault"
T560X4,"Toxic effect of lead and its compounds, undetermined"
T561,Toxic effects of mercury and its compounds
T561X,Toxic effects of mercury and its compounds
T561X1,"Toxic effect of mercury and its compounds, accidental"
T561X2,"Toxic effect of mercury and its compounds, self-harm"
T561X3,"Toxic effect of mercury and its compounds, assault"
T561X4,"Toxic effect of mercury and its compounds, undetermined"
T562,Toxic effects of chromium and its compounds
T562X,Toxic effects of chromium and its compounds
T562X1,"Toxic effect of chromium and its compounds, accidental"
T562X2,"Toxic effect of chromium and its compounds, self-harm"
T562X3,"Toxic effect of chromium and its compounds, assault"
T562X4,"Toxic effect of chromium and its compounds, undetermined"
T563,Toxic effects of cadmium and its compounds
T563X,Toxic effects of cadmium and its compounds
T563X1,"Toxic effect of cadmium and its compounds, accidental"
T563X2,"Toxic effect of cadmium and its compounds, self-harm"
T563X3,"Toxic effect of cadmium and its compounds, assault"
T563X4,"Toxic effect of cadmium and its compounds, undetermined"
T564,Toxic effects of copper and its compounds
T564X,Toxic effects of copper and its compounds
T564X1,"Toxic effect of copper and its compounds, accidental"
T564X2,"Toxic effect of copper and its compounds, self-harm"
T564X3,"Toxic effect of copper and its compounds, assault"
T564X4,"Toxic effect of copper and its compounds, undetermined"
T565,Toxic effects of zinc and its compounds
T565X,Toxic effects of zinc and its compounds
T565X1,"Toxic effect of zinc and its compounds, accidental"
T565X2,"Toxic effect of zinc and its compounds, self-harm"
T565X3,"Toxic effect of zinc and its compounds, assault"
T565X4,"Toxic effect of zinc and its compounds, undetermined"
T566,Toxic effects of tin and its compounds
T566X,Toxic effects of tin and its compounds
T566X1,"Toxic effect of tin and its compounds, accidental"
T566X2,"Toxic effect of tin and its compounds, intentional self-harm"
T566X3,"Toxic effect of tin and its compounds, assault"
T566X4,"Toxic effect of tin and its compounds, undetermined"
T567,Toxic effects of beryllium and its compounds
T567X,Toxic effects of beryllium and its compounds
T567X1,"Toxic effect of beryllium and its compounds, accidental"
T567X2,"Toxic effect of beryllium and its compounds, self-harm"
T567X3,"Toxic effect of beryllium and its compounds, assault"
T567X4,"Toxic effect of beryllium and its compounds, undetermined"
T568,Toxic effects of other metals
T5681,Toxic effect of thallium
T56811,"Toxic effect of thallium, accidental (unintentional)"
T56812,"Toxic effect of thallium, intentional self-harm"
T56813,"Toxic effect of thallium, assault"
T56814,"Toxic effect of thallium, undetermined"
T5682,Toxic effect of gadolinium
T56821,"Toxic effect of gadolinium, accidental (unintentional)"
T56822,"Toxic effect of gadolinium, intentional self-harm"
T56823,"Toxic effect of gadolinium, assault"
T56824,"Toxic effect of gadolinium, undetermined"
T5689,Toxic effects of other metals
T56891,"Toxic effect of other metals, accidental (unintentional)"
T56892,"Toxic effect of other metals, intentional self-harm"
T56893,"Toxic effect of other metals, assault"
T56894,"Toxic effect of other metals, undetermined"
T569,Toxic effects of unspecified metal
T5691,"Toxic effect of unsp metal, accidental (unintentional)"
T5692,"Toxic effect of unspecified metal, intentional self-harm"
T5693,"Toxic effect of unspecified metal, assault"
T5694,"Toxic effect of unspecified metal, undetermined"
T57,Toxic effect of other inorganic substances
T570,Toxic effect of arsenic and its compounds
T570X,Toxic effect of arsenic and its compounds
T570X1,"Toxic effect of arsenic and its compounds, accidental"
T570X2,"Toxic effect of arsenic and its compounds, self-harm"
T570X3,"Toxic effect of arsenic and its compounds, assault"
T570X4,"Toxic effect of arsenic and its compounds, undetermined"
T571,Toxic effect of phosphorus and its compounds
T571X,Toxic effect of phosphorus and its compounds
T571X1,"Toxic effect of phosphorus and its compounds, accidental"
T571X2,"Toxic effect of phosphorus and its compounds, self-harm"
T571X3,"Toxic effect of phosphorus and its compounds, assault"
T571X4,"Toxic effect of phosphorus and its compounds, undetermined"
T572,Toxic effect of manganese and its compounds
T572X,Toxic effect of manganese and its compounds
T572X1,"Toxic effect of manganese and its compounds, accidental"
T572X2,"Toxic effect of manganese and its compounds, self-harm"
T572X3,"Toxic effect of manganese and its compounds, assault"
T572X4,"Toxic effect of manganese and its compounds, undetermined"
T573,Toxic effect of hydrogen cyanide
T573X,Toxic effect of hydrogen cyanide
T573X1,"Toxic effect of hydrogen cyanide, accidental (unintentional)"
T573X2,"Toxic effect of hydrogen cyanide, intentional self-harm"
T573X3,"Toxic effect of hydrogen cyanide, assault"
T573X4,"Toxic effect of hydrogen cyanide, undetermined"
T578,Toxic effect of other specified inorganic substances
T578X,Toxic effect of other specified inorganic substances
T578X1,"Toxic effect of inorganic substances, accidental"
T578X2,"Toxic effect of inorganic substances, intentional self-harm"
T578X3,"Toxic effect of oth inorganic substances, assault"
T578X4,"Toxic effect of oth inorganic substances, undetermined"
T579,Toxic effect of unspecified inorganic substance
T5791,"Toxic effect of unsp inorganic substance, accidental"
T5792,"Toxic effect of unsp inorganic substance, self-harm"
T5793,"Toxic effect of unspecified inorganic substance, assault"
T5794,"Toxic effect of unsp inorganic substance, undetermined"
T58,Toxic effect of carbon monoxide
T580,Toxic effect of carbon monoxide from motor vehicle exhaust
T5801,"Toxic effect of carb monx from mtr veh exhaust, accidental"
T5802,"Toxic effect of carb monx from mtr veh exhaust, self-harm"
T5803,"Toxic effect of carb monx from mtr veh exhaust, assault"
T5804,"Toxic effect of carb monx from mtr veh exhaust, undetermined"
T581,Toxic effect of carbon monoxide from utility gas
T5811,"Toxic effect of carb monx from utility gas, accidental"
T5812,"Toxic effect of carbon monoxide from utility gas, self-harm"
T5813,"Toxic effect of carbon monoxide from utility gas, assault"
T5814,"Toxic effect of carb monx from utility gas, undetermined"
T582,Toxic effect of carbon monoxide from incmpl combst dmst fuel
T582X,Toxic effect of carbon monoxide from incmpl combst dmst fuel
T582X1,"Toxic effect of carb monx from incmpl combst dmst fuel, acc"
T582X2,"Toxic eff of carb monx from incmpl combst dmst fuel, slf-hrm"
T582X3,"Toxic eff of carb monx from incmpl combst dmst fuel, asslt"
T582X4,"Toxic eff of carb monx from incmpl combst dmst fuel, undet"
T588,Toxic effect of carbon monoxide from other source
T588X,Toxic effect of carbon monoxide from other source
T588X1,"Toxic effect of carbon monoxide from oth source, accidental"
T588X2,"Toxic effect of carbon monoxide from oth source, self-harm"
T588X3,"Toxic effect of carbon monoxide from other source, assault"
T588X4,"Toxic effect of carb monx from oth source, undetermined"
T589,Toxic effect of carbon monoxide from unspecified source
T5891,"Toxic effect of carb monx from unsp source, accidental"
T5892,"Toxic effect of carbon monoxide from unsp source, self-harm"
T5893,"Toxic effect of carbon monoxide from unsp source, assault"
T5894,"Toxic effect of carb monx from unsp source, undetermined"
T59,"Toxic effect of other gases, fumes and vapors"
T590,Toxic effect of nitrogen oxides
T590X,Toxic effect of nitrogen oxides
T590X1,"Toxic effect of nitrogen oxides, accidental (unintentional)"
T590X2,"Toxic effect of nitrogen oxides, intentional self-harm"
T590X3,"Toxic effect of nitrogen oxides, assault"
T590X4,"Toxic effect of nitrogen oxides, undetermined"
T591,Toxic effect of sulfur dioxide
T591X,Toxic effect of sulfur dioxide
T591X1,"Toxic effect of sulfur dioxide, accidental (unintentional)"
T591X2,"Toxic effect of sulfur dioxide, intentional self-harm"
T591X3,"Toxic effect of sulfur dioxide, assault"
T591X4,"Toxic effect of sulfur dioxide, undetermined"
T592,Toxic effect of formaldehyde
T592X,Toxic effect of formaldehyde
T592X1,"Toxic effect of formaldehyde, accidental (unintentional)"
T592X2,"Toxic effect of formaldehyde, intentional self-harm"
T592X3,"Toxic effect of formaldehyde, assault"
T592X4,"Toxic effect of formaldehyde, undetermined"
T593,Toxic effect of lacrimogenic gas
T593X,Toxic effect of lacrimogenic gas
T593X1,"Toxic effect of lacrimogenic gas, accidental (unintentional)"
T593X2,"Toxic effect of lacrimogenic gas, intentional self-harm"
T593X3,"Toxic effect of lacrimogenic gas, assault"
T593X4,"Toxic effect of lacrimogenic gas, undetermined"
T594,Toxic effect of chlorine gas
T594X,Toxic effect of chlorine gas
T594X1,"Toxic effect of chlorine gas, accidental (unintentional)"
T594X2,"Toxic effect of chlorine gas, intentional self-harm"
T594X3,"Toxic effect of chlorine gas, assault"
T594X4,"Toxic effect of chlorine gas, undetermined"
T595,Toxic effect of fluorine gas and hydrogen fluoride
T595X,Toxic effect of fluorine gas and hydrogen fluoride
T595X1,"Toxic effect of fluorine gas and hydrogen fluoride, acc"
T595X2,"Toxic effect of fluorine gas and hydrogen fluoride, slf-hrm"
T595X3,"Toxic effect of fluorine gas and hydrogen fluoride, assault"
T595X4,"Toxic effect of fluorine gas and hydrogen fluoride, undet"
T596,Toxic effect of hydrogen sulfide
T596X,Toxic effect of hydrogen sulfide
T596X1,"Toxic effect of hydrogen sulfide, accidental (unintentional)"
T596X2,"Toxic effect of hydrogen sulfide, intentional self-harm"
T596X3,"Toxic effect of hydrogen sulfide, assault"
T596X4,"Toxic effect of hydrogen sulfide, undetermined"
T597,Toxic effect of carbon dioxide
T597X,Toxic effect of carbon dioxide
T597X1,"Toxic effect of carbon dioxide, accidental (unintentional)"
T597X2,"Toxic effect of carbon dioxide, intentional self-harm"
T597X3,"Toxic effect of carbon dioxide, assault"
T597X4,"Toxic effect of carbon dioxide, undetermined"
T598,"Toxic effect of other specified gases, fumes and vapors"
T5981,Toxic effect of smoke
T59811,"Toxic effect of smoke, accidental (unintentional)"
T59812,"Toxic effect of smoke, intentional self-harm"
T59813,"Toxic effect of smoke, assault"
T59814,"Toxic effect of smoke, undetermined"
T5989,"Toxic effect of other specified gases, fumes and vapors"
T59891,"Toxic effect of gases, fumes and vapors, accidental"
T59892,"Toxic effect of gases, fumes and vapors, self-harm"
T59893,"Toxic effect of oth gases, fumes and vapors, assault"
T59894,"Toxic effect of oth gases, fumes and vapors, undetermined"
T599,"Toxic effect of unspecified gases, fumes and vapors"
T5991,"Toxic effect of unsp gases, fumes and vapors, accidental"
T5992,"Toxic effect of unsp gases, fumes and vapors, self-harm"
T5993,"Toxic effect of unspecified gases, fumes and vapors, assault"
T5994,"Toxic effect of unsp gases, fumes and vapors, undetermined"
T60,Toxic effect of pesticides
T600,Toxic effect of organophosphate and carbamate insecticides
T600X,Toxic effect of organophosphate and carbamate insecticides
T600X1,"Toxic effect of organophos and carbamate insect, accidental"
T600X2,"Toxic effect of organophos and carbamate insect, self-harm"
T600X3,"Toxic effect of organophos and carbamate insect, assault"
T600X4,"Toxic effect of organophos and carbamate insect, undet"
T601,Toxic effect of halogenated insecticides
T601X,Toxic effect of halogenated insecticides
T601X1,"Toxic effect of halogenated insecticides, accidental"
T601X2,"Toxic effect of halogenated insecticides, self-harm"
T601X3,"Toxic effect of halogenated insecticides, assault"
T601X4,"Toxic effect of halogenated insecticides, undetermined"
T602,Toxic effect of other insecticides
T602X,Toxic effect of other insecticides
T602X1,"Toxic effect of oth insecticides, accidental (unintentional)"
T602X2,"Toxic effect of other insecticides, intentional self-harm"
T602X3,"Toxic effect of other insecticides, assault"
T602X4,"Toxic effect of other insecticides, undetermined"
T603,Toxic effect of herbicides and fungicides
T603X,Toxic effect of herbicides and fungicides
T603X1,"Toxic effect of herbicides and fungicides, accidental"
T603X2,"Toxic effect of herbicides and fungicides, self-harm"
T603X3,"Toxic effect of herbicides and fungicides, assault"
T603X4,"Toxic effect of herbicides and fungicides, undetermined"
T604,Toxic effect of rodenticides
T604X,Toxic effect of rodenticides
T604X1,"Toxic effect of rodenticides, accidental (unintentional)"
T604X2,"Toxic effect of rodenticides, intentional self-harm"
T604X3,"Toxic effect of rodenticides, assault"
T604X4,"Toxic effect of rodenticides, undetermined"
T608,Toxic effect of other pesticides
T608X,Toxic effect of other pesticides
T608X1,"Toxic effect of other pesticides, accidental (unintentional)"
T608X2,"Toxic effect of other pesticides, intentional self-harm"
T608X3,"Toxic effect of other pesticides, assault"
T608X4,"Toxic effect of other pesticides, undetermined"
T609,Toxic effect of unspecified pesticide
T6091,"Toxic effect of unsp pesticide, accidental (unintentional)"
T6092,"Toxic effect of unspecified pesticide, intentional self-harm"
T6093,"Toxic effect of unspecified pesticide, assault"
T6094,"Toxic effect of unspecified pesticide, undetermined"
T61,Toxic effect of noxious substances eaten as seafood
T610,Ciguatera fish poisoning
T6101,"Ciguatera fish poisoning, accidental (unintentional)"
T6102,"Ciguatera fish poisoning, intentional self-harm"
T6103,"Ciguatera fish poisoning, assault"
T6104,"Ciguatera fish poisoning, undetermined"
T611,Scombroid fish poisoning
T6111,"Scombroid fish poisoning, accidental (unintentional)"
T6112,"Scombroid fish poisoning, intentional self-harm"
T6113,"Scombroid fish poisoning, assault"
T6114,"Scombroid fish poisoning, undetermined"
T617,Other fish and shellfish poisoning
T6177,Other fish poisoning
T61771,"Other fish poisoning, accidental (unintentional)"
T61772,"Other fish poisoning, intentional self-harm"
T61773,"Other fish poisoning, assault"
T61774,"Other fish poisoning, undetermined"
T6178,Other shellfish poisoning
T61781,"Other shellfish poisoning, accidental (unintentional)"
T61782,"Other shellfish poisoning, intentional self-harm"
T61783,"Other shellfish poisoning, assault"
T61784,"Other shellfish poisoning, undetermined"
T618,Toxic effect of other seafood
T618X,Toxic effect of other seafood
T618X1,"Toxic effect of other seafood, accidental (unintentional)"
T618X2,"Toxic effect of other seafood, intentional self-harm"
T618X3,"Toxic effect of other seafood, assault"
T618X4,"Toxic effect of other seafood, undetermined"
T619,Toxic effect of unspecified seafood
T6191,"Toxic effect of unsp seafood, accidental (unintentional)"
T6192,"Toxic effect of unspecified seafood, intentional self-harm"
T6193,"Toxic effect of unspecified seafood, assault"
T6194,"Toxic effect of unspecified seafood, undetermined"
T62,Toxic effect of other noxious substances eaten as food
T620,Toxic effect of ingested mushrooms
T620X,Toxic effect of ingested mushrooms
T620X1,"Toxic effect of ingested mushrooms, accidental"
T620X2,"Toxic effect of ingested mushrooms, intentional self-harm"
T620X3,"Toxic effect of ingested mushrooms, assault"
T620X4,"Toxic effect of ingested mushrooms, undetermined"
T621,Toxic effect of ingested berries
T621X,Toxic effect of ingested berries
T621X1,"Toxic effect of ingested berries, accidental (unintentional)"
T621X2,"Toxic effect of ingested berries, intentional self-harm"
T621X3,"Toxic effect of ingested berries, assault"
T621X4,"Toxic effect of ingested berries, undetermined"
T622,Toxic effect of other ingested (parts of) plant(s)
T622X,Toxic effect of other ingested (parts of) plant(s)
T622X1,"Toxic effect of ingested (parts of) plant(s), accidental"
T622X2,"Toxic effect of ingested (parts of) plant(s), self-harm"
T622X3,"Toxic effect of other ingested (parts of) plant(s), assault"
T622X4,"Toxic effect of ingested (parts of) plant(s), undetermined"
T628,Toxic effect of oth noxious substances eaten as food
T628X,Toxic effect of oth noxious substances eaten as food
T628X1,"Toxic effect of noxious substances eaten as food, acc"
T628X2,"Toxic effect of noxious substances eaten as food, self-harm"
T628X3,"Toxic effect of noxious substances eaten as food, assault"
T628X4,"Toxic effect of noxious substances eaten as food, undet"
T629,Toxic effect of unspecified noxious substance eaten as food
T6291,"Toxic effect of unsp noxious substance eaten as food, acc"
T6292,"Toxic effect of unsp noxious sub eaten as food, slf-hrm"
T6293,"Toxic effect of unsp noxious sub eaten as food, assault"
T6294,"Toxic effect of unsp noxious substance eaten as food, undet"
T63,Toxic effect of contact with venomous animals and plants
T630,Toxic effect of snake venom
T6300,Toxic effect of unspecified snake venom
T63001,"Toxic effect of unsp snake venom, accidental (unintentional)"
T63002,"Toxic effect of unsp snake venom, intentional self-harm"
T63003,"Toxic effect of unspecified snake venom, assault"
T63004,"Toxic effect of unspecified snake venom, undetermined"
T6301,Toxic effect of rattlesnake venom
T63011,"Toxic effect of rattlesnake venom, accidental"
T63012,"Toxic effect of rattlesnake venom, intentional self-harm"
T63013,"Toxic effect of rattlesnake venom, assault"
T63014,"Toxic effect of rattlesnake venom, undetermined"
T6302,Toxic effect of coral snake venom
T63021,"Toxic effect of coral snake venom, accidental"
T63022,"Toxic effect of coral snake venom, intentional self-harm"
T63023,"Toxic effect of coral snake venom, assault"
T63024,"Toxic effect of coral snake venom, undetermined"
T6303,Toxic effect of taipan venom
T63031,"Toxic effect of taipan venom, accidental (unintentional)"
T63032,"Toxic effect of taipan venom, intentional self-harm"
T63033,"Toxic effect of taipan venom, assault"
T63034,"Toxic effect of taipan venom, undetermined"
T6304,Toxic effect of cobra venom
T63041,"Toxic effect of cobra venom, accidental (unintentional)"
T63042,"Toxic effect of cobra venom, intentional self-harm"
T63043,"Toxic effect of cobra venom, assault"
T63044,"Toxic effect of cobra venom, undetermined"
T6306,Toxic effect of venom of oth North and South American snake
T63061,"Toxic effect of venom of N & S American snake, accidental"
T63062,"Toxic effect of venom of N & S American snake, self-harm"
T63063,"Toxic effect of venom of N & S American snake, assault"
T63064,"Toxic effect of venom of N & S American snake, undetermined"
T6307,Toxic effect of venom of other Australian snake
T63071,"Toxic effect of venom of Australian snake, accidental"
T63072,"Toxic effect of venom of Australian snake, self-harm"
T63073,"Toxic effect of venom of other Australian snake, assault"
T63074,"Toxic effect of venom of oth Australian snake, undetermined"
T6308,Toxic effect of venom of other African and Asian snake
T63081,"Toxic effect of venom of African and Asian snake, acc"
T63082,"Toxic effect of venom of African and Asian snake, self-harm"
T63083,"Toxic effect of venom of African and Asian snake, assault"
T63084,"Toxic effect of venom of African and Asian snake, undet"
T6309,Toxic effect of venom of other snake
T63091,"Toxic effect of venom of snake, accidental (unintentional)"
T63092,"Toxic effect of venom of other snake, intentional self-harm"
T63093,"Toxic effect of venom of other snake, assault"
T63094,"Toxic effect of venom of other snake, undetermined"
T631,Toxic effect of venom of other reptiles
T6311,Toxic effect of venom of gila monster
T63111,"Toxic effect of venom of gila monster, accidental"
T63112,"Toxic effect of venom of gila monster, intentional self-harm"
T63113,"Toxic effect of venom of gila monster, assault"
T63114,"Toxic effect of venom of gila monster, undetermined"
T6312,Toxic effect of venom of other venomous lizard
T63121,"Toxic effect of venom of venomous lizard, accidental"
T63122,"Toxic effect of venom of venomous lizard, self-harm"
T63123,"Toxic effect of venom of other venomous lizard, assault"
T63124,"Toxic effect of venom of other venomous lizard, undetermined"
T6319,Toxic effect of venom of other reptiles
T63191,"Toxic effect of venom of reptiles, accidental"
T63192,"Toxic effect of venom of oth reptiles, intentional self-harm"
T63193,"Toxic effect of venom of other reptiles, assault"
T63194,"Toxic effect of venom of other reptiles, undetermined"
T632,Toxic effect of venom of scorpion
T632X,Toxic effect of venom of scorpion
